[0.16, 0.76, 0.02]
[-0.85, 0.22, 0.02]
[0.43, -0.91, 0.02]
[0.79, -0.59, 0.02]
[0.77, -0.93, 0.02]
[0.72, -0.88, 0.02]
[0.5700000000000001, -0.67, 0.02]
[0.5700000000000001, -0.52, 0.02]
[0.52, -0.47000000000000003, 0.02]
[0.5700000000000001, -0.68, 0.02]
[-0.7799999999999999, -0.41, 0.02]
[0.62, 0.38, 0.02]
[0.57, 0.43, 0.02]
[0.5199999999999999, 0.38, 0.02]
[0.19, 0.36, 0.02]
[0.49, 0.75, 0.02]
[-0.06, 0.05, 0.02]
[-0.8099999999999999, 0.66, 0.02]
[-0.86, 0.7100000000000001, 0.02]
[-0.91, 0.66, 0.02]
[0.08, 0.7, 0.02]
[-0.38, -0.13, 0.02]
[0.32, 0.68, 0.02]
[0.27, 0.7300000000000001, 0.02]
[0.22000000000000003, 0.68, 0.02]
[0.27, 0.63, 0.02]
[-0.16999999999999998, -0.53, 0.02]
[-0.22, -0.48000000000000004, 0.02]
[-0.84, 0.08, 0.02]
[0.08, -0.72, 0.02]
[0.03, -0.6699999999999999, 0.02]
[-0.15999999999999998, 0.81, 0.02]
[0.5900000000000001, 0.39, 0.02]
[0.5900000000000001, -0.47, 0.02]
[0.54, -0.42, 0.02]
[0.49000000000000005, -0.47, 0.02]
[-0.63, 0.51, 0.02]
[-0.68, 0.56, 0.02]
[-0.7300000000000001, 0.51, 0.02]
[-0.68, 0.46, 0.02]
[-0.5599999999999999, 0.77, 0.02]
[0.38, 0.76, 0.02]
[0.13, -0.97, 0.02]
[0.08, -0.9199999999999999, 0.02]
